date,new_orders,new_revenue,repeat_orders,repeat_revenue,guest_orders,guest_revenue,order_count,base_sum,revenue_sum
2026-07-04,10,2620920,24,4065106,2,389700,36,7730310,7075726
2026-07-05,14,2608790,21,3002868,10,999520,45,7207030,6611178
2026-07-06,8,1744740,26,4018405,3,982800,37,7570890,6745945
2026-07-07,10,1471010,23,3916793,3,667710,36,6577260,6055513
2026-07-08,2,433900,12,2151192,3,675810,17,3527610,3260902
2026-07-09,3,730100,10,1582938,2,636300,15,3203000,2949338
2026-07-10,9,2063505,16,1575630,3,712420,28,4822400,4351555
2026-07-11,4,394820,12,1675952,3,797400,19,3115770,2868172
2026-07-01,23,4640870,27,4637487,6,926630,56,14122919,10204987
2026-07-02,13,1590750,32,4285008,6,868290,51,9514902,6744048
2026-07-03,4,228300,24,3769330,9,1026360,37,7412614,5023990
